source,target,date,value
Verification,Verification_Approve,12/27/16,1967
Verification,Verification_Approve,12/28/16,2292
Verification,Verification_Approve,12/29/16,1991
Verification,Verification_Decline,12/27/16,3200
Verification,Verification_Decline,12/28/16,4210
Verification,Verification_Decline,12/29/16,3349
Verification,Verification_Unknown,12/27/16,150
Verification,Verification_Unknown,12/28/16,187
Verification,Verification_Unknown,12/29/16,139
Verification_Approve,Eligibility_DIRECT_APPROVAL,12/27/16,80
Verification_Approve,Eligibility_DIRECT_APPROVAL,12/28/16,77
Verification_Approve,Eligibility_DIRECT_APPROVAL,12/29/16,95
Verification_Approve,Eligibility_FRAUD_ONLY,12/27/16,35
Verification_Approve,Eligibility_FRAUD_ONLY,12/28/16,26
Verification_Approve,Eligibility_FRAUD_ONLY,12/29/16,38
Verification_Approve,Eligibility_Type1_Fraud_-_APPROVED,12/27/16,34
Verification_Approve,Eligibility_Type1_Fraud_-_APPROVED,12/28/16,34
Verification_Approve,Eligibility_Type1_Fraud_-_APPROVED,12/29/16,28
Verification_Approve,Eligibility_Type1_Fraud_-_DECLINED,12/27/16,25
Verification_Approve,Eligibility_Type1_Fraud_-_DECLINED,12/28/16,24
Verification_Approve,Eligibility_Type1_Fraud_-_DECLINED,12/29/16,14
Verification_Approve,Eligibility_Type1_Fraud_-_PENDING,12/27/16,5
Verification_Approve,Eligibility_Type1_Fraud_-_PENDING,12/28/16,6
Verification_Approve,Eligibility_Type1_Fraud_-_PENDING,12/29/16,6
Verification_Approve,Eligibility_Type1_Fraud_-_WALKAWAY,12/27/16,68
Verification_Approve,Eligibility_Type1_Fraud_-_WALKAWAY,12/28/16,62
Verification_Approve,Eligibility_Type1_Fraud_-_WALKAWAY,12/29/16,58
Verification_Approve,Eligibility_Type2_Fraud_-_APPROVED,12/27/16,58
Verification_Approve,Eligibility_Type2_Fraud_-_APPROVED,12/28/16,100
Verification_Approve,Eligibility_Type2_Fraud_-_APPROVED,12/29/16,72
Verification_Approve,Eligibility_Type2_Fraud_-_DECLINED,12/27/16,6
Verification_Approve,Eligibility_Type2_Fraud_-_DECLINED,12/28/16,2
Verification_Approve,Eligibility_Type2_Fraud_-_DECLINED,12/29/16,6
Verification_Approve,Eligibility_Type2_Fraud_-_PENDING,12/27/16,1
Verification_Approve,Eligibility_Type2_Fraud_-_PENDING,12/28/16,4
Verification_Approve,Eligibility_Type2_Fraud_-_PENDING,12/29/16,4
Verification_Approve,Eligibility_Type2_Fraud_-_WALKAWAY,12/27/16,56
Verification_Approve,Eligibility_Type2_Fraud_-_WALKAWAY,12/28/16,70
Verification_Approve,Eligibility_Type2_Fraud_-_WALKAWAY,12/29/16,79
Verification_Approve,Eligibility_TWN_APPROVAL,12/27/16,52
Verification_Approve,Eligibility_TWN_APPROVAL,12/28/16,87
Verification_Approve,Eligibility_TWN_APPROVAL,12/29/16,79
Verification_Decline,DECLINED,12/27/16,3200
Verification_Decline,DECLINED,12/28/16,4210
Verification_Decline,DECLINED,12/29/16,3349
Eligibility_DIRECT_APPROVAL,ABANDONED,12/27/16,4
Eligibility_DIRECT_APPROVAL,ABANDONED,12/28/16,6
Eligibility_DIRECT_APPROVAL,ABANDONED,12/29/16,6
Eligibility_DIRECT_APPROVAL,CLOSED,12/27/16,75
Eligibility_DIRECT_APPROVAL,CLOSED,12/28/16,70
Eligibility_DIRECT_APPROVAL,CLOSED,12/29/16,86
Eligibility_DIRECT_APPROVAL,INCOMPLETE,12/27/16,1
Eligibility_DIRECT_APPROVAL,INCOMPLETE,12/28/16,1
Eligibility_DIRECT_APPROVAL,INCOMPLETE,12/29/16,1
Eligibility_DIRECT_APPROVAL,OPEN,12/27/16,1
Eligibility_DIRECT_APPROVAL,OPEN,12/28/16,1
Eligibility_DIRECT_APPROVAL,OPEN,12/29/16,1
Eligibility_Type1_Fraud_-_APPROVED,ABANDONED,12/27/16,3
Eligibility_Type1_Fraud_-_APPROVED,ABANDONED,12/28/16,2
Eligibility_Type1_Fraud_-_APPROVED,ABANDONED,12/29/16,1
Eligibility_Type1_Fraud_-_APPROVED,CLOSED,12/27/16,33
Eligibility_Type1_Fraud_-_APPROVED,CLOSED,12/28/16,33
Eligibility_Type1_Fraud_-_APPROVED,CLOSED,12/29/16,30
Eligibility_Type1_Fraud_-_APPROVED,OPEN,12/27/16,1
Eligibility_Type1_Fraud_-_APPROVED,OPEN,12/28/16,1
Eligibility_Type1_Fraud_-_APPROVED,OPEN,12/29/16,1
Eligibility_Type1_Fraud_-_WALKAWAY,INCOMPLETE,12/27/16,68
Eligibility_Type1_Fraud_-_WALKAWAY,INCOMPLETE,12/28/16,62
Eligibility_Type1_Fraud_-_WALKAWAY,INCOMPLETE,12/29/16,55
Eligibility_Type1_Fraud_-_DECLINED,DECLINED,12/27/16,25
Eligibility_Type1_Fraud_-_DECLINED,DECLINED,12/28/16,24
Eligibility_Type1_Fraud_-_DECLINED,DECLINED,12/29/16,11
Eligibility_TWN_APPROVAL,ABANDONED,12/27/16,2
Eligibility_TWN_APPROVAL,ABANDONED,12/28/16,3
